124079829/02/256331/08/2570403203   9494.00 730000.00
124079829/02/256301/07/2563403203   5099.00  30000.00
013610829/02/256330/08/2564403203  12008.00 660000.00
013610829/02/256329/07/2563403203      0.00  15000.00
013490429/02/256331/08/2565403203  20777.00 840000.00
110236229/02/256301/09/2569403203  13557.001050000.00
128000929/02/256331/08/2570403203  11638.00 940000.00
120247329/02/256301/07/2563403203   5769.00  45000.00
120247329/02/256301/09/2563403203  11908.00 530000.00
013523329/02/256329/08/2563403203  35596.001010000.00
016380229/02/256301/05/2566403203   8806.00 690000.00
016874729/02/256329/08/2568403203  14142.00 900000.00
016874729/02/256301/04/2563403203   3371.00  10000.00
013520729/02/256301/09/2563403203  19801.00 910000.00
016354129/02/256301/09/2568403203  14002.00 900000.00
016354129/02/256301/03/2563403203   2034.00  10000.00
120463929/02/256301/08/2571403203  11296.00 900000.00
120463929/02/256301/08/2563403203   6703.00  65000.00
014361829/02/256301/09/2565403203  24300.00 730000.00
013243729/02/256301/09/2564403203  14544.00 720000.00
014075729/02/256329/08/2567403203  24779.001380000.00
013265729/02/256329/11/2568403203   4101.00 330000.00
014351529/02/256329/07/2566403203      0.00 650000.00
016941629/02/256331/07/2566403203  20456.00 920000.00
014100029/02/256301/01/2564403203   8642.00 100000.00
127992129/02/256301/10/2572403203   9528.00 820000.00
016976529/02/256301/10/2575403203   6110.00 750000.00
016976529/02/256301/09/2566403203  11831.00 460000.00
127994529/02/256301/07/2572403203  10922.00 940000.00
017554429/02/256301/10/2570403203   9398.00 800000.00
129752129/02/256331/08/2563403203  12380.00 560000.00
013204729/02/256301/06/2563403203   6645.00 500000.00
013204729/02/256301/10/2563403203   2851.00  63820.00
013204729/02/256301/09/2563403203   7051.00  75000.00
012856529/02/256301/01/2564403203  11234.00 130000.00
012856529/02/256329/09/2563403203   9312.00 650000.00
016855329/02/256301/05/2563403203   6285.00  55000.00
016855329/02/256330/07/2565403203  11443.00 710000.00
016855329/02/256331/05/2565403203   1763.00  57300.00
110198029/02/256301/09/2568403203  15433.00 870000.00
110198029/02/256329/07/2563403203      0.00  19000.00
017566129/02/256301/01/2573403203  12172.001060000.00
120689529/02/256301/12/2564403203   7785.00 610000.00
013018029/02/256301/10/2564403203   7758.00 600000.00
129672329/02/256331/08/2567403203  15834.00 860000.00
017797029/02/256331/08/2567403203  15495.00 820000.00
017797029/02/256301/05/2563403203   2720.00  16000.00
016903829/02/256331/10/2572403203  11253.00 980000.00
016903829/02/256301/07/2563403203   1714.00  55500.00
014078329/02/256301/09/2565403203  18877.00 940000.00
120080329/02/256301/01/2567403203   1797.00 120000.00
120080329/02/256301/04/2563403203   3570.00  21000.00
016359129/02/256301/07/2571403203   8134.00 700000.00
129855129/02/256301/09/2572403203  13878.001180000.00
017518029/02/256331/07/2567403203  13146.00 750000.00
017503729/02/256331/03/2572403203   7669.00 660000.00
013198829/02/256301/01/2571403203   4675.00 380000.00
129958129/02/256301/11/2571403203   9296.00 800000.00
129942629/02/256301/03/2571403203   6972.00 600000.00
013088129/02/256301/01/2566403203   8678.00 680000.00
013088129/02/256331/08/2563403203   6703.00  65000.00
068830729/02/256330/01/2564403203   8168.00 640000.00
129941429/02/256329/11/2572403203      0.00 940000.00
018297529/02/256301/07/2572403203   9296.00 800000.00
018297529/02/256301/07/2563403203   6410.00  50000.00
018236529/02/256331/08/2570403203  11078.00 820000.00
124294229/02/256301/01/2565403203   6645.00 500000.00
129842229/02/256301/08/2568403203   7426.00 580000.00
018285829/02/256301/01/2572403203   8366.00 720000.00
018285829/02/256301/03/2563403203   1522.00   6000.00
018150529/02/256329/01/2566403203   8040.00 630000.00
018150529/02/256301/09/2563403203   5769.00  45000.00
129938529/02/256331/03/2572403203   8366.00 720000.00
130081129/02/256301/10/2570403203   6226.00 530000.00
110139429/02/256331/08/2566403203  11156.00 510000.00
016853929/02/256331/08/2571403203   9915.00 790000.00
018293729/02/256301/07/2572403203   7437.00 640000.00
